district,risk_percentage,latitude,longitude
Agra,37.467205,27.1767,78.0081
Ahmedabad,40.579582,23.0225,72.5714
Angul,32.740364,20.8444,85.1511
Aurangabad,39.524544,19.8762,75.3433
Balasore,41.930874,21.4942,86.9317
Ballari,37.839417,15.1394,76.9214
Belagavi,42.117466,15.8497,74.4977
Bengaluru Urban,40.976368,12.9716,77.5946
Bharuch,32.820095,21.7051,72.9959
Chennai,44.726437,13.0827,80.2707
Coimbatore,41.039246,11.0168,76.9558
Cuttack,41.15846,20.4625,85.883
Dharwad,43.916164,15.4589,75.0078
Gandhinagar,42.64089,23.2156,72.6369
Ganjam,43.377533,19.3871,84.7919
Gautam Buddha Nagar,41.504986,28.5355,77.391
Jajpur,31.7143,20.85,86.333
Kanchipuram,36.470863,12.8342,79.7036
Kanpur Nagar,40.228184,26.4499,80.3319
Khordha,40.60916,20.1734,85.6745
Kutch,38.158543,23.7337,69.8597
Lucknow,38.650116,26.8467,80.9462
Madurai,44.65066,9.9252,78.1198
Mangaluru,48.31467,12.9141,74.856
Meerut,39.33983,28.9845,77.7064
Mysuru,38.17845,12.2958,76.6394
Nagpur,42.406155,21.1458,79.0882
Nashik,41.795544,19.9975,73.7898
Prayagraj,39.382866,25.4358,81.8463
Pune,42.976234,18.5204,73.8567
Puri,44.825203,19.8135,85.8312
Raigad,33.746323,18.5158,73.1822
Rajkot,37.237286,22.3039,70.8022
Salem,40.483837,11.6643,78.146
Sambalpur,36.958176,21.4669,83.9812
Sundargarh,37.821465,22.1167,84.0333
Surat,40.02834,21.1702,72.8311
Thane,40.64292,19.2183,72.9781
Tiruchirappalli,42.863014,10.7905,78.7047
Tiruvallur,32.69475,13.1439,79.9089
Tumakuru,39.81063,13.3409,77.101
Vadodara,39.925777,22.3072,73.1812
Varanasi,36.699654,25.3176,82.9739
