district,latitude,longitude,predicted_risk,risk_level
Aurangabad,19.8762,75.3433,94.95638,Critical
Jajpur,20.85,86.333,83.80062,Critical
Kanchipuram,12.8342,79.7036,8.676748,Low
Tiruvallur,13.1439,79.9089,96.77652,Critical
Nagpur,21.1458,79.0882,1.8074032,Low
Tumakuru,13.3409,77.101,3.662847,Low
Aurangabad,19.8762,75.3433,11.81006,Low
Ahmedabad,23.0225,72.5714,2.840746,Low
Kutch,23.7337,69.8597,76.06652,High
Madurai,9.9252,78.1198,96.97752,Critical
Madurai,9.9252,78.1198,6.640972,Low
Pune,18.5204,73.8567,1.6961012,Low
Ahmedabad,23.0225,72.5714,1.125571,Low
Kutch,23.7337,69.8597,49.388737,Medium
Tumakuru,13.3409,77.101,28.977674,Low
Jajpur,20.85,86.333,1.504971,Low
Ballari,15.1394,76.9214,12.766187,Low
Varanasi,25.3176,82.9739,95.64516,Critical
Ballari,15.1394,76.9214,95.12733,Critical
Pune,18.5204,73.8567,21.122074,Low
Jajpur,20.85,86.333,4.148305,Low
Nagpur,21.1458,79.0882,1.0936667,Low
Agra,27.1767,78.0081,45.8296,Medium
Jajpur,20.85,86.333,97.248184,Critical
Coimbatore,11.0168,76.9558,89.56994,Critical
Kutch,23.7337,69.8597,3.4189093,Low
Ballari,15.1394,76.9214,88.27259,Critical
Aurangabad,19.8762,75.3433,1.006239,Low
Lucknow,26.8467,80.9462,96.92613,Critical
Kutch,23.7337,69.8597,15.207871,Low
Belagavi,15.8497,74.4977,6.863525,Low
Vadodara,22.3072,73.1812,89.88748,Critical
Ballari,15.1394,76.9214,6.501728,Low
Salem,11.6643,78.146,98.374115,Critical
Sundargarh,22.1167,84.0333,87.65977,Critical
Kutch,23.7337,69.8597,97.9176,Critical
Ahmedabad,23.0225,72.5714,5.67443,Low
Surat,21.1702,72.8311,7.197739,Low
Jajpur,20.85,86.333,96.577034,Critical
Agra,27.1767,78.0081,10.738483,Low
Belagavi,15.8497,74.4977,1.0197992,Low
Tiruvallur,13.1439,79.9089,96.84839,Critical
Surat,21.1702,72.8311,2.7030203,Low
Khordha,20.1734,85.6745,4.032209,Low
Varanasi,25.3176,82.9739,5.571375,Low
Ballari,15.1394,76.9214,97.69579,Critical
Sambalpur,21.4669,83.9812,9.121028,Low
Salem,11.6643,78.146,98.42726,Critical
Tiruvallur,13.1439,79.9089,25.952646,Low
Mysuru,12.2958,76.6394,1.2428315,Low
Surat,21.1702,72.8311,0.34524372,Low
Tiruvallur,13.1439,79.9089,96.375404,Critical
Prayagraj,25.4358,81.8463,96.23897,Critical
Khordha,20.1734,85.6745,2.5617163,Low
Varanasi,25.3176,82.9739,17.394258,Low
Bharuch,21.7051,72.9959,97.91925,Critical
Prayagraj,25.4358,81.8463,92.3086,Critical
Lucknow,26.8467,80.9462,2.1438162,Low
Nashik,19.9975,73.7898,0.78948337,Low
Gautam Buddha Nagar,28.5355,77.391,94.81442,Critical
Bengaluru Urban,12.9716,77.5946,9.17956,Low
Jajpur,20.85,86.333,0.26767802,Low
Nashik,19.9975,73.7898,0.9412456,Low
Sambalpur,21.4669,83.9812,1.1356449,Low
Jajpur,20.85,86.333,0.6049156,Low
Vadodara,22.3072,73.1812,0.863263,Low
Kutch,23.7337,69.8597,4.362987,Low
Nagpur,21.1458,79.0882,24.46294,Low
Salem,11.6643,78.146,2.637326,Low
Kutch,23.7337,69.8597,6.8772326,Low
Kutch,23.7337,69.8597,2.5819623,Low
Ahmedabad,23.0225,72.5714,1.7140554,Low
Sambalpur,21.4669,83.9812,4.2930746,Low
Thane,19.2183,72.9781,25.760265,Low
Jajpur,20.85,86.333,0.30550346,Low
Tumakuru,13.3409,77.101,2.934364,Low
Sundargarh,22.1167,84.0333,24.707228,Low
Ballari,15.1394,76.9214,27.27083,Low
Prayagraj,25.4358,81.8463,95.652596,Critical
Prayagraj,25.4358,81.8463,95.91838,Critical
Ballari,15.1394,76.9214,98.77496,Critical
Bengaluru Urban,12.9716,77.5946,76.2432,High
Khordha,20.1734,85.6745,18.032547,Low
Mysuru,12.2958,76.6394,63.28816,Medium
Aurangabad,19.8762,75.3433,90.28483,Critical
Varanasi,25.3176,82.9739,16.157726,Low
Agra,27.1767,78.0081,2.1859798,Low
Madurai,9.9252,78.1198,1.4884338,Low
Bengaluru Urban,12.9716,77.5946,0.8930764,Low
Surat,21.1702,72.8311,98.19479,Critical
Bharuch,21.7051,72.9959,1.274159,Low
Belagavi,15.8497,74.4977,3.332001,Low
Aurangabad,19.8762,75.3433,10.046056,Low
Vadodara,22.3072,73.1812,2.854609,Low
Coimbatore,11.0168,76.9558,2.656565,Low
Belagavi,15.8497,74.4977,4.2527885,Low
Pune,18.5204,73.8567,30.14057,Low
Aurangabad,19.8762,75.3433,9.839766,Low
Sundargarh,22.1167,84.0333,4.067711,Low
Aurangabad,19.8762,75.3433,86.42237,Critical
Ahmedabad,23.0225,72.5714,86.05669,Critical
Kutch,23.7337,69.8597,92.428925,Critical
Bengaluru Urban,12.9716,77.5946,99.2713,Critical
Bengaluru Urban,12.9716,77.5946,1.3674356,Low
Nashik,19.9975,73.7898,4.9051914,Low
Madurai,9.9252,78.1198,24.46585,Low
Lucknow,26.8467,80.9462,4.722539,Low
Jajpur,20.85,86.333,0.8669012,Low
Gautam Buddha Nagar,28.5355,77.391,99.3437,Critical
Thane,19.2183,72.9781,5.8368597,Low
Nagpur,21.1458,79.0882,91.37373,Critical
Varanasi,25.3176,82.9739,77.13486,High
Jajpur,20.85,86.333,4.144698,Low
Lucknow,26.8467,80.9462,83.5177,Critical
Ballari,15.1394,76.9214,1.8742092,Low
Vadodara,22.3072,73.1812,98.13923,Critical
Tiruvallur,13.1439,79.9089,21.844389,Low
Ballari,15.1394,76.9214,3.2320948,Low
Kutch,23.7337,69.8597,0.890703,Low
Coimbatore,11.0168,76.9558,33.38883,Low
Salem,11.6643,78.146,15.607387,Low
Madurai,9.9252,78.1198,58.933323,Medium
